CPD_ID,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,Run
EC_11392057,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
X-XEW670281,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4.18E-06,0.028,0.75,3.85,0.954,3.96E-06,0.0516,0.727,4.07,0.958,4
EC_11188057,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_16097031,1.55E-06,1.25,1.39,12.3,0.186,5.21E-06,0.0191,0.44,2.07,0.91,1.03E-05,0.0543,0.474,1.88,0.904,4
EC_11188498,1.25E-05,0.266,1.35,2.92,0.864,5.30E-06,0.0356,0.966,1.59,0.966,3.28E-06,0.082,0.71,2.49,0.902,4
EC_16997113,5.63E-06,-0.0231,1.28,2.47,0.934,9.65E-07,0.0164,0.319,14.9,0.901,2.05E-06,0.0817,0.852,2.09,0.978,4
EC_11189194,3.87E-06,0.0589,1.22,4.25,0.946,8.75E-07,0.0493,0.551,15.2,0.873,1.35E-06,0.101,0.896,2.6,0.979,4
EC_10645834,1.44E-05,0.124,1.24,4.52,0.787,3.58E-06,0.0315,0.91,3.26,0.973,3.61E-06,0.0769,0.877,3.13,0.979,4
EC_11190448,1.32E-05,0.212,1.26,1.75,0.836,6.83E-06,0.0248,0.926,2.09,0.986,3.31E-06,0.0857,0.679,5.32,0.971,4
EC_11241847,1.40E-05,0.0518,1.21,4.47,0.87,3.11E-06,0.038,0.732,12,0.971,4.18E-06,0.113,0.968,2.86,0.965,4
EC_11190511,1.11E-06,-0.00969,1.23,3.2,0.956,3.30E-07,0.0247,0.542,1.71,0.963,3.31E-07,0.0965,0.978,2.21,0.991,4
EC_11386795,2.40E-05,0.119,1.17,14.8,0.781,4.29E-06,0.0303,0.858,3.65,0.953,4.69E-06,0.0919,0.767,3.16,0.928,4
EC_11190878,5.16E-06,-0.0199,1.13,3.32,0.962,9.66E-07,0.019,0.581,15.1,0.96,1.37E-06,0.0654,0.835,2.84,0.988,4
EC_11391704,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,1.27E-05,0.0233,1.07,3.38,0.977,1.17E-05,0.0393,0.8,3.22,0.963,4
EC_11191242,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,1.65E-05,-0.00265,0.517,3.12,0.856,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_11191283,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_11261900,6.35E-09,0.496,0.999,0.712,0.584,2.98E-06,-0.0119,0.992,2.2,0.982,1.73E-06,-0.0963,0.969,1.17,0.928,4
EC_11192049,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,3.60E-06,0.0185,0.963,4.5,0.975,3.78E-06,-0.0137,0.963,2.65,0.906,4
EC_11262380,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,1.33E-06,0.0155,0.483,2,0.917,7.28E-07,-0.0299,0.681,1.28,0.928,4
EC_11257142,8.93E-06,-0.0207,1.03,16,0.792,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.29E-06,-0.0247,0.666,1.39,0.934,4
EC_11301156,4.09E-06,-0.0121,1.03,2.84,0.82,1.30E-06,-0.00301,0.634,1.73,0.909,3.23E-07,-0.012,0.416,3.2,0.54,4
EC_11258179,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,1.64E-06,-0.00511,1.07,2.38,0.992,1.44E-06,-0.00646,1.01,2.07,0.962,4
EC_27080206,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_11259640,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,3.71E-06,0.0142,0.988,2.89,0.984,2.89E-06,0.0185,0.829,2,0.937,4
EC_27082048,2.79E-05,0.17,1.06,13.4,0.816,6.66E-06,0.0422,1.05,1.82,0.972,2.07E-06,0.00448,0.792,0.851,0.897,4
EC_11261479,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_27083992,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.58E-06,0.0167,0.319,1.02,0.683,4.12E-06,0.0185,0.669,2.89,0.854,4
EC_11261582,8.97E-06,-0.0207,0.974,15.6,0.814,9.34E-07,0.0324,0.727,14,0.908,1.01E-06,-0.0197,0.779,1.51,0.925,4
X-WE60665001,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_11261632,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
X-WE60667960,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,5.96E-06,-0.0118,0.6,2.53,0.965,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
